time	232Th	228Ra	228Ac	228Th	224Ra	220Rn	216Po	212Pb	212Bi	212Po	208Tl	208Pb	
1.13e+06	1	1.76271e-12	2.10016e-16	3.58404e-15	9.06658e-18	1.59377e-21	4.18272e-24	1.10839e-18	9.62568e-20	5.97835e-30	2.11427e-21	4.16202e-18	
1.14e+06	1	1.77828e-12	2.11925e-16	3.64954e-15	9.2806e-18	1.63141e-21	4.28104e-24	1.13455e-18	9.86125e-20	6.11641e-30	2.16259e-21	4.31473e-18	
1.15e+06	1	1.79384e-12	2.13834e-16	3.71563e-15	9.49745e-18	1.66954e-21	4.38067e-24	1.16105e-18	1.01001e-19	6.25622e-30	2.21152e-21	4.47143e-18	
1.16e+06	1	1.80941e-12	2.15744e-16	3.78232e-15	9.71714e-18	1.70817e-21	4.48159e-24	1.1879e-18	1.03421e-19	6.39777e-30	2.26105e-21	4.6322e-18	
1.17e+06	1	1.82497e-12	2.17653e-16	3.84959e-15	9.93967e-18	1.7473e-21	4.58383e-24	1.2151e-18	1.05874e-19	6.54107e-30	2.31118e-21	4.79709e-18	
1.18e+06	1	1.84053e-12	2.19562e-16	3.91745e-15	1.01651e-17	1.78693e-21	4.68736e-24	1.24264e-18	1.0836e-19	6.68613e-30	2.36192e-21	4.96616e-18	
1.19e+06	1	1.8561e-12	2.21471e-16	3.9859e-15	1.03933e-17	1.82707e-21	4.79221e-24	1.27053e-18	1.10878e-19	6.83293e-30	2.41326e-21	5.13947e-18	
1.2e+06	1	1.87166e-12	2.2338e-16	4.05494e-15	1.06244e-17	1.8677e-21	4.89837e-24	1.29877e-18	1.13429e-19	6.9815e-30	2.46521e-21	5.31709e-18	
1.21e+06	1	1.88722e-12	2.25288e-16	4.12457e-15	1.08584e-17	1.90885e-21	5.00584e-24	1.32735e-18	1.16012e-19	7.13182e-30	2.51776e-21	5.49908e-18	
1.22e+06	1	1.90278e-12	2.27197e-16	4.19479e-15	1.10952e-17	1.95049e-21	5.11463e-24	1.35629e-18	1.18629e-19	7.28391e-30	2.57092e-21	5.68549e-18	
1.23e+06	1	1.91834e-12	2.29106e-16	4.2656e-15	1.13349e-17	1.99264e-21	5.22473e-24	1.38557e-18	1.21278e-19	7.43776e-30	2.62469e-21	5.87638e-18	
1.24e+06	1	1.9339e-12	2.31014e-16	4.337e-15	1.15775e-17	2.0353e-21	5.33616e-24	1.4152e-18	1.23961e-19	7.59338e-30	2.67907e-21	6.07183e-18	
1.25e+06	1	1.94946e-12	2.32923e-16	4.40899e-15	1.1823e-17	2.07847e-21	5.44891e-24	1.44518e-18	1.26676e-19	7.75076e-30	2.73406e-21	6.27189e-18	
1.26e+06	1	1.96501e-12	2.34831e-16	4.48157e-15	1.20713e-17	2.12214e-21	5.56298e-24	1.47552e-18	1.29424e-19	7.90992e-30	2.78966e-21	6.47662e-18	
1.27e+06	1	1.98057e-12	2.3674e-16	4.55474e-15	1.23226e-17	2.16632e-21	5.67838e-24	1.5062e-18	1.32206e-19	8.07085e-30	2.84587e-21	6.68609e-18	
1.28e+06	1	1.99613e-12	2.38648e-16	4.62849e-15	1.25768e-17	2.21101e-21	5.79511e-24	1.53724e-18	1.3502e-19	8.23355e-30	2.90269e-21	6.90035e-18	
1.29e+06	1	2.01168e-12	2.40556e-16	4.70284e-15	1.28338e-17	2.25621e-21	5.91316e-24	1.56862e-18	1.37868e-19	8.39804e-30	2.96012e-21	7.11948e-18	
1.3e+06	1	2.02724e-12	2.42465e-16	4.77777e-15	1.30938e-17	2.30193e-21	6.03255e-24	1.60037e-18	1.40749e-19	8.5643e-30	3.01817e-21	7.34352e-18	
