time	238U	234Th	234Pa	234U	230Th	226Ra	222Rn	218Po	218At	214Pb	218Rn	214Bi	214Po	210Tl	210Pb	210Bi	206Hg	210Po	206Tl	206Pb	
3.68928e+07	10	1.47677e-10	1.71064e-12	1.66419e-09	2.54001e-15	8.46706e-21	5.31518e-26	2.98948e-29	4.82379e-35	2.58482e-28	1.12297e-39	1.92523e-28	2.68611e-35	2.66779e-33	9.74984e-25	5.61121e-28	1.3194e-38	4.54439e-27	4.37675e-37	1.5557e-27	
3.74976e+07	10	1.47677e-10	1.71064e-12	1.69392e-09	2.63086e-15	8.92246e-21	5.60499e-26	3.15264e-29	5.08339e-35	2.72468e-28	1.18754e-39	2.03135e-28	2.82084e-35	2.80535e-33	1.04541e-24	6.02365e-28	1.41472e-38	4.94114e-27	4.69859e-37	1.72191e-27	
3.81024e+07	10	1.47677e-10	1.71064e-12	1.72365e-09	2.72333e-15	9.39401e-21	5.90522e-26	3.32211e-29	5.35188e-35	2.86939e-28	1.25958e-39	2.14184e-28	2.93365e-35	2.92392e-33	1.11959e-24	6.45853e-28	1.51528e-38	5.36452e-27	5.03878e-37	1.90251e-27	
3.87072e+07	10	1.47677e-10	1.71064e-12	1.75339e-09	2.8174e-15	9.88199e-21	6.21606e-26	3.49777e-29	5.63048e-35	3.0194e-28	1.33614e-39	2.25624e-28	3.03863e-35	3.03547e-33	1.19768e-24	6.91665e-28	1.62121e-38	5.81579e-27	5.39758e-37	2.09843e-27	
3.9312e+07	10	1.47677e-10	1.71064e-12	1.78312e-09	2.91308e-15	1.03867e-20	6.53768e-26	3.67948e-29	5.9206e-35	3.17521e-28	1.41379e-39	2.37397e-28	3.15211e-35	3.15392e-33	1.27979e-24	7.39882e-28	1.7326e-38	6.29623e-27	5.77518e-37	2.31068e-27	
3.99168e+07	10	1.47677e-10	1.71064e-12	1.81285e-09	3.01036e-15	1.09084e-20	6.87027e-26	3.86704e-29	6.22378e-35	3.33735e-28	1.48862e-39	2.49438e-28	3.29273e-35	3.29513e-33	1.36606e-24	7.90588e-28	1.84954e-38	6.80716e-27	6.17165e-37	2.54031e-27	
4.05216e+07	10	1.47677e-10	1.71064e-12	1.84258e-09	3.10926e-15	1.14473e-20	7.21401e-26	4.06022e-29	6.54174e-35	3.50645e-28	1.5562e-39	2.61674e-28	3.48153e-35	3.47704e-33	1.45661e-24	8.43866e-28	1.97212e-38	7.34995e-27	6.58699e-37	2.78841e-27	
4.11264e+07	10	1.47677e-10	1.71064e-12	1.87231e-09	3.20977e-15	1.20038e-20	7.56909e-26	4.25872e-29	6.87266e-35	3.68199e-28	1.613e-39	2.74136e-28	3.74155e-35	3.72209e-33	1.5516e-24	8.99803e-28	2.10034e-38	7.92599e-27	7.0209e-37	3.05612e-27	
4.17312e+07	10	1.47677e-10	1.71064e-12	1.90204e-09	3.31188e-15	1.25782e-20	7.93571e-26	4.4638e-29	7.20415e-35	3.86001e-28	1.67857e-39	2.87336e-28	3.99232e-35	3.96674e-33	1.65121e-24	9.58487e-28	2.23473e-38	8.5367e-27	7.47617e-37	3.34463e-27	
4.2336e+07	10	1.47677e-10	1.71064e-12	1.93178e-09	3.41561e-15	1.31707e-20	8.31404e-26	4.67644e-29	7.54379e-35	4.04287e-28	1.75848e-39	3.01129e-28	4.19017e-35	4.16575e-33	1.75556e-24	1.02001e-27	2.37586e-38	9.18354e-27	7.95544e-37	3.65518e-27	
4.29408e+07	10	1.47677e-10	1.71065e-12	1.96151e-09	3.52094e-15	1.37816e-20	8.70428e-26	4.89649e-29	7.89291e-35	4.23104e-28	1.84951e-39	3.15462e-28	4.35044e-35	4.33219e-33	1.8648e-24	1.08445e-27	2.52387e-38	9.868e-27	8.45903e-37	3.98907e-27	
4.35456e+07	10	1.47677e-10	1.71065e-12	1.99124e-09	3.62788e-15	1.44112e-20	9.1066e-26	5.12377e-29	8.25301e-35	4.42505e-28	1.94791e-39	3.30274e-28	4.49087e-35	4.48115e-33	1.97908e-24	1.15191e-27	2.67887e-38	1.05916e-26	8.98713e-37	4.34764e-27	
4.41504e+07	10	1.47677e-10	1.71065e-12	2.02097e-09	3.73643e-15	1.50598e-20	9.52119e-26	5.35808e-29	8.62576e-35	4.6255e-28	2.04944e-39	3.45494e-28	4.63174e-35	4.62989e-33	2.09855e-24	1.22248e-27	2.84096e-38	1.1356e-26	9.53984e-37	4.73229e-27	
4.47552e+07	10	1.47677e-10	1.71065e-12	2.0507e-09	3.84659e-15	1.57276e-20	9.94824e-26	5.59916e-29	9.01303e-35	4.83305e-28	2.14928e-39	3.6104e-28	4.79588e-35	4.79789e-33	2.22335e-24	1.29626e-27	3.01023e-38	1.21626e-26	1.01171e-36	5.14448e-27	
4.536e+07	10	1.47677e-10	1.71065e-12	2.08043e-09	3.95835e-15	1.6415e-20	1.03879e-25	5.8467e-29	9.41683e-35	5.04839e-28	2.24205e-39	3.76822e-28	5.00886e-35	5.00695e-33	2.35363e-24	1.37333e-27	3.18672e-38	1.30132e-26	1.07188e-36	5.58571e-27	
4.59648e+07	10	1.47677e-10	1.71065e-12	2.11017e-09	4.07173e-15	1.71222e-20	1.08404e-25	6.10036e-29	9.83941e-35	5.27232e-28	2.32178e-39	3.9274e-28	5.29903e-35	5.28124e-33	2.48954e-24	1.4538e-27	3.37045e-38	1.39095e-26	1.13447e-36	6.05757e-27	
4.65696e+07	10	1.47677e-10	1.71065e-12	2.1399e-09	4.18672e-15	1.78495e-20	1.13059e-25	6.36029e-29	1.02654e-34	5.5e-28	2.39701e-39	4.09293e-28	5.65073e-35	5.61831e-33	2.63129e-24	1.53776e-27	3.56154e-38	1.48531e-26	1.1995e-36	6.56168e-27	
4.71744e+07	10	1.47677e-10	1.71065e-12	2.16963e-09	4.30331e-15	1.85972e-20	1.17846e-25	6.6288e-29	1.06964e-34	5.73183e-28	2.49149e-39	4.26652e-28	5.93409e-35	5.89919e-33	2.77904e-24	1.62532e-27	3.76117e-38	1.58457e-26	1.26759e-36	7.09973e-27	
4.77792e+07	10	1.47677e-10	1.71065e-12	2.19936e-09	4.42151e-15	1.93656e-20	1.22767e-25	6.90592e-29	1.11372e-34	5.96931e-28	2.60186e-39	4.44673e-28	6.15873e-35	6.12918e-33	2.93296e-24	1.71657e-27	3.96956e-38	1.68892e-26	1.33881e-36	7.67347e-27	
4.8384e+07	10	1.47677e-10	1.71065e-12	2.22909e-09	4.54132e-15	2.01549e-20	1.27824e-25	7.1914e-29	1.15895e-34	6.2131e-28	2.72353e-39	4.63278e-28	6.34648e-35	6.32687e-33	3.0932e-24	1.81163e-27	4.18683e-38	1.79854e-26	1.41316e-36	8.28472e-27	
4.89888e+07	10	1.47677e-10	1.71065e-12	2.25882e-09	4.66274e-15	2.09655e-20	1.33018e-25	7.48496e-29	1.20554e-34	6.46389e-28	2.85131e-39	4.8238e-28	6.52195e-35	6.51322e-33	3.25993e-24	1.91058e-27	4.41306e-38	1.9136e-26	1.49065e-36	8.93535e-27	
4.95936e+07	10	1.47677e-10	1.71065e-12	2.28855e-09	4.78577e-15	2.17976e-20	1.38352e-25	7.78627e-29	1.2537e-34	6.72242e-28	2.9794e-39	5.0188e-28	6.71262e-35	6.71168e-33	3.43332e-24	2.01355e-27	4.64831e-38	2.03431e-26	1.57126e-36	9.62731e-27	
